nh4;no3;o2;doc
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
0.15;0;0;0
